CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.rt,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,20.6514074,None,space,8.5496367,21.143586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,2,Pre,2021_Jun_28_1114,N-Back (New Version 2021),2021.1.4,120.227133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7430735,None,space,12.8801681,30.2327443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,2,Pre,2021_Jun_28_1114,N-Back (New Version 2021),2021.1.4,120.227133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1442929,None,space,7.9641156,43.6374671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,2,Pre,2021_Jun_28_1114,N-Back (New Version 2021),2021.1.4,120.227133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6279633,None,space,4.5871828,52.1181645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,2,Pre,2021_Jun_28_1114,N-Back (New Version 2021),2021.1.4,120.227133
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1131936,None,61.0914604,None,space,7.3180615,61.0914604,None,58.1131936,None,1.99,68.4297958,None,70.4231376,None,space,1,0.4022154,70.4231376,None,70.84117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,2,Pre,2021_Jun_28_1114,N-Back (New Version 2021),2021.1.4,120.227133
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.415,72.3446933,None,73.7669448,None,None,1,,73.7669448,None,75.7687382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,2,Pre,2021_Jun_28_1114,N-Back (New Version 2021),2021.1.4,120.227133
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.515,77.2682775,None,78.7873153,None,None,1,,78.7873153,None,80.7928202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,2,Pre,2021_Jun_28_1114,N-Back (New Version 2021),2021.1.4,120.227133
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565,82.2918671,None,83.8625248,None,None,1,,83.8625248,None,85.8658187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,2,Pre,2021_Jun_28_1114,N-Back (New Version 2021),2021.1.4,120.227133
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315,87.365296,None,88.6844274,None,None,1,,88.6844274,None,90.6893399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,2,Pre,2021_Jun_28_1114,N-Back (New Version 2021),2021.1.4,120.227133
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,92.1884738,None,93.831255,None,None,1,,93.831255,None,95.8378623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,2,Pre,2021_Jun_28_1114,N-Back (New Version 2021),2021.1.4,120.227133
