CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.rt,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,28.8226493,None,space,42.4136268,29.3189048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.7674996,None,space,13.5314641,72.256713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8276144,None,space,0.8370806,86.3195499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1847578,None,space,0.8310531,87.6770929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8997163,None,92.8855696,None,space,0.5029253,92.8855696,None,89.8997163,None,1.865,93.41945,None,95.2932476,None,space,1,0.2788651,95.2932476,None,95.5882033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.715,97.0901298,None,98.8076373,None,None,1,,98.8076373,None,100.8142738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,102.3135842,None,104.1056972,None,None,1,,104.1056972,None,106.1049546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,107.6120809,None,108.8559481,None,None,1,,108.8559481,None,110.8528776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,112.3523842,None,113.9439252,None,None,1,,113.9439252,None,115.9429829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.515,117.4427024,None,118.959843,None,None,1,,118.959843,None,120.9639686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,N,None,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,122.4658924,None,123.5598212,None,None,1,,123.5598212,None,125.5651024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,m,None,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,127.0645803,None,128.5382522,None,None,1,,128.5382522,None,130.5384874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,132.0379561,None,133.8791807,None,space,1,0.3088643,133.8791807,None,134.1966752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,135.7036342,None,137.6538561,None,space,1,0.310235,137.6538561,None,137.9863122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
Conditions/Version_2Pr/oneback(1)_v2.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),r,None,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.5122467,None,142.4972799,None,space,1.5227893,142.4972799,None,139.5122467,None,1.79,144.0472503,None,145.8466022,None,None,1,,145.8466022,None,147.8441425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,2,Post,2021_Nov_16_1214,N-Back (New Version 2021),2021.1.4,120.173675
