CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.rt,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,71.3476948,None,space,50.3088769,71.8358935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.1774514,None,space,23.9854242,122.6713973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.6906978,None,space,28.3076642,147.1810476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.5150162,None,space,5.6591385,176.0056745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.079402,None,186.0619101,None,space,0.7468079,186.0619101,None,183.079402,None,1.59,186.8417179,None,188.4382552,None,space,1,0.3145084,188.4382552,None,188.772374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.865,190.2757074,None,192.1445939,None,None,1,,192.1445939,None,194.1492611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,195.6487057,None,197.4904584,None,None,1,,197.4904584,None,199.4976619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.965,200.9971464,None,202.9633114,None,None,1,,202.9633114,None,204.9626831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315,206.4626011,None,207.7802917,None,None,1,,207.7802917,None,209.7866125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,211.286242,None,212.4801731,None,None,1,,212.4801731,None,214.4852638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,N,None,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.065,215.9848674,None,217.0532539,None,None,1,,217.0532539,None,219.0586969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,m,None,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,220.5584696,None,222.4511107,None,None,1,,222.4511107,None,224.4571154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,225.9569121,None,227.1991922,None,space,1,0.4494856,227.1991922,None,227.6579183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665,229.164066,None,230.8322039,None,space,1,0.4565731,230.8322039,None,231.2980414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,FENCOG,2,Pre,2022_May_10_1058,N-Back (New Version 2021),2021.1.4,119.9909767
