Participant P034visit number -1
Stimuli number 1
Scanner Trigger at time 36000
run_number	trial_number	trial_type	outcome_type	side_type	left_stim	right_stim	stim_onset	choice_onset	interval_onset	outcome_onset	ITI_onset	button_pressed	side_chosen	trial_outcome	total	reaction_time	win_out	loss_out
1	1	2	1	0	H	C	4	13	11736	12766	14779	7	1	0	1	11722		0
1	2	1	1	1	A	D	15798	15812	17840	18861	20878	7	1	1	1.2	2027	1	
1	3	1	1	0	D	A	21896	21911	23200	24228	26244	8	0	1	1.4	1288	1	
1	4	2	0	1	C	H	27262	27277	28752	29776	31794	7	1	0	1.4	1474		1
1	5	2	1	1	C	H	32813	32827	34464	35493	37510	8	0	0	1.4	1636		0
1	6	1	1	0	D	A	38530	38543	39568	40592	42610	7	1	0	1.4	1024	0	
1	7	1	1	1	A	D	43627	43643	44592	45626	47643	7	1	1	1.6	948	1	
1	8	2	1	0	H	C	48660	48676	50136	51158	53175	7	1	0	1.6	1460		0
1	9	1	0	1	A	D	54193	54208	55656	56692	58708	7	1	0	1.6	1447	1	
1	10	2	1	1	C	H	59726	59741	61048	62074	64091	8	0	0	1.6	1306		0
1	11	1	1	0	D	A	65109	65124	65864	66890	68907	7	1	0	1.6	739	0	
1	12	2	0	0	H	C	69926	69940	71432	72457	74474	8	0	0	1.6	1491		1
1	13	2	1	1	C	H	75491	75507	76096	77130	79140	7	1	-1	1.4	589		1
1	14	1	0	0	D	A	80158	80173	80992	82023	84039	8	0	0	1.4	818	1	
1	15	1	1	1	A	D	85057	85073	86312	87339	89356	8	0	0	1.4	1239	0	
1	16	2	1	0	H	C	90373	90389	91752	92788	94805	7	1	0	1.4	1362		0
1	17	1	0	1	A	D	95823	95838	97360	98388	100405	7	1	0	1.4	1521	1	
1	18	2	1	1	C	H	101423	101438	102488	103520	105538	8	0	0	1.4	1049		0
1	19	1	1	0	D	A	106555	106571	107616	108636	110654	8	0	1	1.6	1044	1	
1	20	2	1	1	C	H	111672	111687	113344	114369	116387	8	0	0	1.6	1656		0
1	21	1	1	0	D	A	117404	117420	118408	119436	121453	8	0	1	1.8	987	1	
1	22	2	1	0	H	C	122471	122486	124600	125635	127652	7	1	0	1.8	2114		0
1	23	1	0	1	A	D	128670	128685	130608	131634	133652	8	0	1	2	1922	0	
1	24	1	1	1	A	D	134671	134685	136528	137551	139568	8	0	0	2	1842	0	
1	25	2	0	0	H	C	140586	140601	142480	143499	145518	7	1	-1	1.8	1878		0
1	26	2	1	1	C	H	146535	146551	147920	148949	150967	8	0	0	1.8	1368		0
1	27	1	1	0	D	A	151985	152000	153904	154931	156950	8	0	1	2	1903	1	
1	28	2	1	0	H	C	157968	157983	159632	160664	162683	8	0	-1	1.8	1648		1
1	29	1	1	1	A	D	163701	163716	164928	165948	167966	8	0	0	1.8	1211	0	
1	30	2	0	1	C	H	168983	168999	170248	171282	173298	8	0	-1	1.6	1249		0
1	31	1	1	0	D	A	174316	174332	175432	176464	178481	8	0	1	1.8	1100	1	
1	32	1	0	0	D	A	179500	179514	180312	181350	183364	8	0	0	1.8	797	1	
1	33	2	1	1	C	H	184382	184397	187784	188812	190830	7	1	-1	1.6	3386		1
1	34	2	0	0	H	C	191848	191863	194280	195312	197330	8	0	0	1.6	2416		1
1	35	1	1	1	A	D	198348	198363	199432	200462	202479	8	0	0	1.6	1068	0	
1	36	2	1	1	C	H	203497	203512	204856	205878	207896	8	0	0	1.6	1343		0
1	37	1	0	0	D	A	208913	208929	210256	211278	213295	8	0	0	1.6	1327	1	
1	38	2	1	0	H	C	214313	214328	215496	216527	218545	8	0	-1	1.4	1167		1
1	39	1	1	1	A	D	219562	219578	220528	221561	223578	8	0	0	1.4	950	0	
1	40	2	1	0	H	C	224595	224611	225528	226560	228577	7	1	0	1.4	917		0
1	41	2	0	1	C	H	229595	229610	230456	231492	233510	8	0	-1	1.2	845		0
1	42	1	1	0	D	A	234528	234543	235360	236392	238410	8	0	1	1.4	816	1	
1	43	2	1	0	H	C	239427	239443	240472	241508	243526	8	0	-1	1.2	1029		1
1	44	1	0	1	A	D	244543	244559	246056	247091	249109	8	0	1	1.4	1496	0	
1	45	1	1	1	A	D	250128	250142	252640	253673	255691	8	0	0	1.4	2497	0	
1	46	2	1	0	H	C	256709	256724	258792	259823	261841	8	0	-1	1.2	2067		1
1	47	1	1	0	D	A	262859	262874	264280	265306	267324	8	0	1	1.4	1405	1	
1	48	1	1	1	A	D	268342	268357	269144	270172	272190	8	0	0	1.4	786	0	
1	49	2	0	1	C	H	273208	273223	275264	276289	278306	7	1	0	1.4	2040		1
1	50	2	1	0	H	C	279324	279339	280304	281338	283356	8	0	-1	1.2	964		1
1	51	1	1	0	D	A	284373	284389	286624	287654	289672	8	0	1	1.4	2235	1	
1	52	1	0	1	A	D	290690	290705	291488	292521	294538	8	0	1	1.6	782	0	
1	53	2	1	1	C	H	295556	295571	296792	297820	299838	8	0	0	1.6	1220		0
1	54	2	1	1	C	H	300857	300871	302000	303037	305054	8	0	0	1.6	1129		0
1	55	1	1	0	D	A	306072	306087	306832	307852	309870	8	0	1	1.8	744	1	
1	56	2	1	0	H	C	310888	310903	312192	313219	315236	8	0	-1	1.6	1288		1
1	57	2	0	1	C	H	316254	316269	317792	318819	320836	8	0	-1	1.4	1522		0
1	58	1	0	0	D	A	321854	321869	322384	323418	325435	8	0	0	1.4	515	1	
1	59	1	1	1	A	D	326453	326469	327504	328534	330552	8	0	0	1.4	1035	0	
1	60	2	0	0	H	C	331569	331585	332936	333968	335984	8	0	0	1.4	1351		1
2	1	1	1	0	X	K	340669	340684	349048	350082	352100	8	0	1	1.2	8363	1	
2	2	2	1	1	N	P	353119	353133	354624	355647	357666	7	1	-1	1	1490		1
2	3	2	1	0	P	N	358684	358699	362680	363714	365732	8	0	-1	0.8	3980		1
2	4	1	0	1	K	X	366750	366765	368520	369547	371565	7	1	0	0.8	1754	1	
2	5	1	1	1	K	X	372584	372598	373584	374614	376631	8	0	0	0.8	985	0	
2	6	2	1	0	P	N	377649	377664	378728	379764	381781	7	1	0	0.8	1063		0
2	7	2	1	1	N	P	382798	382814	383856	384880	386897	8	0	0	0.8	1042		0
2	8	1	1	0	X	K	387915	387930	390504	391528	393546	8	0	1	1	2573	1	
2	9	2	0	1	N	P	394564	394579	396224	397244	399262	8	0	-1	0.8	1644		0
2	10	1	1	1	K	X	400280	400296	401840	402861	404879	8	0	0	0.8	1544	0	
2	11	2	1	0	P	N	405896	405912	406784	407811	409828	7	1	0	0.8	872		0
2	12	1	0	0	X	K	410846	410861	411600	412627	414644	8	0	0	0.8	738	1	
2	13	1	1	1	K	X	415662	415678	416416	417444	419461	8	0	0	0.8	738	0	
2	14	2	0	0	P	N	420478	420494	421992	423026	425044	8	0	0	0.8	1498		1
2	15	2	1	1	N	P	426061	426077	427336	428358	430376	7	1	-1	0.6	1259		1
2	16	1	1	0	X	K	431394	431410	432216	433241	435259	8	0	1	0.8	806	1	
2	17	2	0	1	N	P	436277	436292	437648	438674	440692	8	0	-1	0.6	1355		0
2	18	1	1	1	K	X	441710	441725	442688	443724	445742	7	1	1	0.8	962	1	
2	19	2	1	0	P	N	446759	446775	447456	448492	450508	8	0	-1	0.6	680		1
2	20	1	1	1	K	X	451526	451541	452176	453207	455224	7	1	1	0.8	634	1	
2	21	2	1	0	P	N	456242	456257	457720	458756	460774	7	1	0	0.8	1462		0
2	22	1	1	0	X	K	461792	461807	463080	464105	466123	8	0	1	1	1272	1	
2	23	2	0	1	N	P	467141	467156	468504	469538	471556	8	0	-1	0.8	1347		0
2	24	2	1	1	N	P	472575	472589	473688	474722	476739	7	1	-1	0.6	1098		1
2	25	1	0	0	X	K	477757	477772	478816	479838	481855	8	0	0	0.6	1043	1	
2	26	1	1	1	K	X	482873	482888	484504	485538	487555	7	1	1	0.8	1615	1	
2	27	2	1	0	P	N	488573	488588	489504	490537	492554	7	1	0	0.8	915		0
2	28	1	1	0	X	K	493572	493588	494152	495186	497204	8	0	1	1	564	1	
2	29	2	1	1	N	P	498222	498237	498856	499886	501904	8	0	0	1	618		0
2	30	1	0	1	K	X	502921	502937	503680	504703	506720	7	1	0	1	743	1	
2	31	2	1	0	P	N	507738	507753	508288	509319	511336	8	0	-1	0.8	534		1
2	32	2	0	0	P	N	512355	512369	513032	514069	516086	7	1	-1	0.6	662		0
2	33	1	1	1	K	X	517103	517119	517520	518551	520569	8	0	0	0.6	400	0	
2	34	1	0	0	X	K	521586	521602	522256	523285	525302	8	0	0	0.6	653	1	
2	35	2	1	1	N	P	526320	526335	527728	528750	530768	7	1	-1	0.4	1393		1
2	36	1	1	1	K	X	531786	531801	532760	533783	535801	8	0	0	0.4	958	0	
2	37	2	0	0	P	N	536818	536834	537504	538533	540550	7	1	-1	0.2	669		0
2	38	1	1	0	X	K	541568	541583	542240	543266	545283	8	0	1	0.4	656	1	
2	39	2	1	1	N	P	546301	546316	548712	549748	551766	8	0	0	0.4	2395		0
