Participant P041tv2visit number -1
Stimuli number 1
Scanner Trigger at time 60000
run_number	trial_number	trial_type	outcome_type	side_type	left_stim	right_stim	stim_onset	choice_onset	interval_onset	outcome_onset	ITI_onset	button_pressed	side_chosen	trial_outcome	total	reaction_time	win_out	loss_out
1	1	1	1	0	D	A	2	11	13895	14946	16960	7	1	0	1	13883	0	
1	2	2	1	1	H	C	17979	17993	20855	21877	23893	8	0	0	1	2862		0
1	3	2	1	0	C	H	24911	24926	27167	28192	30209	7	1	0	1	2241		0
1	4	1	0	1	A	D	31226	31242	35567	36591	38608	7	1	0	1	4325	1	
1	5	1	1	1	A	D	39627	39641	42935	43956	45974	8	0	0	1	3293	0	
1	6	2	1	0	C	H	46993	47007	48183	49213	51223	8	0	-1	0.8	1175		1
1	7	2	1	1	H	C	52241	52257	54431	55455	57473	8	0	0	0.8	2174		0
1	8	1	1	0	D	A	58491	58506	59655	60688	62706	7	1	0	0.8	1148	0	
1	9	2	0	1	H	C	63723	63739	65215	66238	68255	8	0	-1	0.6	1475		0
1	10	1	1	1	A	D	69273	69288	71095	72120	74138	8	0	0	0.6	1806	0	
1	11	2	1	0	C	H	75156	75171	78135	79170	81188	8	0	-1	0.4	2963		1
1	12	1	0	0	D	A	82205	82221	83167	84203	86220	7	1	1	0.6	946	0	
1	13	1	1	1	A	D	87238	87254	88143	89169	91187	8	0	0	0.6	889	0	
1	14	2	0	0	C	H	92204	92220	94103	95134	97153	7	1	-1	0.4	1883		0
1	15	2	1	1	H	C	98171	98186	102087	103117	105135	8	0	0	0.4	3900		0
1	16	1	1	0	D	A	106153	106169	110319	111351	113368	7	1	0	0.4	4150	0	
1	17	2	0	1	H	C	114386	114401	115695	116717	118734	8	0	-1	0.2	1293		0
1	18	1	1	1	A	D	119752	119767	120695	121716	123734	7	1	1	0.4	927	1	
1	19	2	1	0	C	H	124752	124767	126023	127049	129067	7	1	0	0.4	1255		0
1	20	1	1	1	A	D	130085	130100	131231	132266	134283	7	1	1	0.6	1130	1	
1	21	2	1	0	C	H	135300	135316	136479	137515	139533	7	1	0	0.6	1162		0
1	22	1	1	0	D	A	140550	140566	141287	142315	144332	8	0	1	0.8	721	1	
1	23	2	0	1	H	C	145350	145365	146863	147897	149915	8	0	-1	0.6	1497		0
1	24	2	1	1	H	C	150935	150948	163127	164162	166180	8	0	0	0.6	12178		0
1	25	1	0	0	D	A	167198	167213	168095	169129	171146	8	0	0	0.6	881	1	
1	26	1	1	1	A	D	172164	172179	173159	174195	176213	7	1	1	0.8	979	1	
1	27	2	1	0	C	H	177230	177246	178647	179678	181696	7	1	0	0.8	1401		0
1	28	1	1	0	D	A	182713	182729	183583	184610	186628	8	0	1	1	854	1	
1	29	2	1	1	H	C	187646	187661	189935	190960	192978	8	0	0	1	2273		0
1	30	1	0	1	A	D	193996	194011	194823	195843	197861	7	1	0	1	811	1	
1	31	2	1	0	C	H	198878	198894	203007	204043	206060	7	1	0	1	4112		0
1	32	2	0	0	C	H	207079	207093	208223	209259	211276	8	0	0	1	1129		1
1	33	1	1	1	A	D	212294	212309	213095	214124	216143	7	1	1	1.2	785	1	
1	34	1	0	0	D	A	217160	217176	218383	219408	221425	7	1	1	1.4	1207	0	
1	35	2	1	1	H	C	222443	222458	225935	226957	228975	7	1	-1	1.2	3476		1
1	36	1	1	1	A	D	229992	230008	231399	232423	234441	7	1	1	1.4	1390	1	
1	37	2	0	0	C	H	235459	235474	237063	238089	240107	8	0	0	1.4	1588		1
1	38	1	1	0	D	A	241125	241140	241951	242972	244990	8	0	1	1.6	810	1	
1	39	2	1	1	H	C	246008	246023	253975	255004	257022	8	0	0	1.6	7951		0
1	40	1	1	0	D	A	258040	258055	259503	260538	262555	8	0	1	1.8	1447	1	
1	41	1	0	1	A	D	263573	263588	265711	266737	268755	7	1	0	1.8	2122	1	
1	42	2	1	0	C	H	269772	269788	284103	285135	287153	7	1	0	1.8	14314		0
1	43	1	1	0	D	A	288171	288186	289591	290619	292636	7	1	0	1.8	1404	0	
1	44	2	0	1	H	C	293654	293669	295319	296351	298369	8	0	-1	1.6	1649		0
1	45	2	1	1	H	C	299388	299402	300087	301118	303135	7	1	-1	1.4	684		1
1	46	1	1	0	D	A	304153	304168	304887	305917	307935	8	0	1	1.6	718	1	
1	47	2	1	0	C	H	308952	308968	309823	310849	312868	8	0	-1	1.4	855		1
1	48	2	1	1	H	C	313885	313901	314679	315700	317717	8	0	0	1.4	778		0
1	49	1	0	1	A	D	318735	318750	319271	320299	322317	7	1	0	1.4	520	1	
1	50	1	1	0	D	A	323334	323350	324103	325132	327150	8	0	1	1.6	752	1	
1	51	2	1	0	C	H	328167	328183	328951	329981	331999	7	1	0	1.6	767		0
1	52	2	0	1	H	C	333017	333032	335175	336198	338215	7	1	0	1.6	2142		1
1	53	1	1	1	A	D	339233	339248	340335	341365	343382	7	1	1	1.8	1086	1	
1	54	1	1	1	A	D	344401	344415	345551	346580	348598	7	1	1	2	1135	1	
1	55	2	1	0	C	H	349616	349631	350999	352028	354047	8	0	-1	1.8	1367		1
1	56	1	1	0	D	A	355065	355080	355871	356895	358914	8	0	1	2	790	1	
1	57	1	0	1	A	D	359931	359947	360543	361578	363596	7	1	0	2	596	1	
1	58	2	0	0	C	H	364614	364630	366295	367327	369346	7	1	-1	1.8	1665		0
1	59	2	1	1	H	C	370364	370379	371671	372694	374712	8	0	0	1.8	1291		0
1	60	1	0	0	D	A	375730	375745	376447	377478	379495	8	0	0	1.8	701	1	
2	1	1	1	0	X	K	389981	389994	408911	409941	411959	7	1	0	1	18916	0	
2	2	2	1	1	P	N	412978	412992	440183	441204	443223	7	1	-1	0.8	27190		1
2	3	2	1	0	N	P	444241	444256	452495	453521	455539	7	1	0	0.8	8238		0
