Participant P047v1visit number -1
Stimuli number 1
Scanner Trigger at time 18000
run_number	trial_number	trial_type	outcome_type	side_type	left_stim	right_stim	stim_onset	choice_onset	interval_onset	outcome_onset	ITI_onset	button_pressed	side_chosen	trial_outcome	total	reaction_time	win_out	loss_out
1	1	2	1	0	H	C	23	31	7761	8801	10814	7	1	0	1	7729		0
1	2	1	1	1	D	A	11843	11864	13161	14197	16213	8	0	0	1	1296	0	
1	3	1	1	0	A	D	17242	17247	21753	22779	24796	8	0	1	1.2	4506	1	
1	4	2	0	1	C	H	25823	25829	29049	30078	32095	7	1	0	1.2	3219		1
1	5	2	1	1	C	H	33126	33145	39537	40567	42578	7	1	-1	1	6391		1
1	6	1	1	0	A	D	43608	43628	44769	45792	47811	8	0	1	1.2	1141	1	
1	7	1	1	1	D	A	48839	48844	51001	52029	54044	7	1	1	1.4	2156	1	
1	8	2	1	0	H	C	55071	55077	58225	59259	61276	7	1	0	1.4	3148		0
1	9	1	0	1	D	A	62305	62326	64073	65109	67126	7	1	0	1.4	1746	1	
1	10	2	1	1	C	H	68154	68159	69073	70108	72125	8	0	0	1.4	913		0
1	11	1	1	0	A	D	73153	73158	74593	75624	77641	8	0	1	1.6	1434	1	
1	12	2	0	0	H	C	78670	78691	79921	80956	82974	7	1	-1	1.4	1229		0
1	13	2	1	1	C	H	84003	84007	85521	86556	88574	8	0	0	1.4	1513		0
1	14	1	0	0	A	D	89602	89607	90665	91690	93707	8	0	0	1.4	1057	1	
1	15	1	1	1	D	A	94734	94740	96825	97855	99873	7	1	1	1.6	2084	1	
1	16	2	1	0	H	C	100901	100906	103377	104405	106422	7	1	0	1.6	2470		0
1	17	1	0	1	D	A	107450	107455	108961	109988	112005	7	1	0	1.6	1505	1	
1	18	2	1	1	C	H	113033	113038	113800	114821	116838	8	0	0	1.6	762		0
1	19	1	1	0	A	D	117866	117871	118689	119720	121738	8	0	1	1.8	817	1	
1	20	2	1	1	C	H	122766	122771	128097	129119	131137	8	0	0	1.8	5325		0
1	21	1	1	0	A	D	132165	132170	133065	134085	136103	8	0	1	2	894	1	
1	22	2	1	0	H	C	137131	137136	139633	140668	142686	7	1	0	2	2496		0
1	23	1	0	1	D	A	143714	143719	145009	146035	148052	7	1	0	2	1289	1	
1	24	1	1	1	D	A	149082	149102	149921	150950	152968	7	1	1	2.2	818	1	
1	25	2	0	0	H	C	153996	154001	154689	155716	157735	7	1	-1	2	687		0
1	26	2	1	1	C	H	158763	158768	161881	162916	164934	8	0	0	2	3112		0
1	27	1	1	0	A	D	165962	165967	166777	167798	169817	8	0	1	2.2	809	1	
1	28	2	1	0	H	C	170845	170850	174153	175181	177200	7	1	0	2.2	3302		0
1	29	1	1	1	D	A	178228	178233	178985	180016	182032	7	1	1	2.4	751	1	
1	30	2	0	1	C	H	183060	183065	183833	184864	186882	8	0	-1	2.2	767		0
1	31	1	1	0	A	D	187910	187915	188641	189667	191682	8	0	1	2.4	725	1	
1	32	1	0	0	A	D	192711	192731	193512	194547	196565	8	0	0	2.4	781	1	
