Participant P051v1visit number -1
Stimuli number 1
Scanner Trigger at time 15000
run_number	trial_number	trial_type	outcome_type	side_type	left_stim	right_stim	stim_onset	choice_onset	interval_onset	outcome_onset	ITI_onset	button_pressed	side_chosen	trial_outcome	total	reaction_time	win_out	loss_out
1	1	2	1	0	C	H	4	14	4292	5330	7346	8	0	-1	0.8	4277		1
1	2	1	1	1	A	D	8366	8379	10820	11863	13878	8	0	0	0.8	2440	0	
1	3	1	1	0	D	A	14896	14911	16076	17107	19127	8	0	1	1	1164	1	
1	4	2	0	1	H	C	20145	20160	21556	22572	24576	8	0	-1	0.8	1395		0
1	5	2	1	1	H	C	25596	25609	28452	29472	31475	8	0	0	0.8	2842		0
1	6	1	1	0	D	A	32503	32508	34708	35737	37741	8	0	1	1	2199	1	
1	7	1	1	1	A	D	38758	38773	40028	41053	43056	7	1	1	1.2	1253	1	
1	8	2	1	0	C	H	44074	44089	45667	46686	48689	7	1	0	1.2	1577		0
1	9	1	0	1	A	D	49706	49721	50780	51802	53821	7	1	0	1.2	1057	1	
1	10	2	1	1	H	C	54839	54854	56436	57467	59470	8	0	0	1.2	1581		0
1	11	1	1	0	D	A	60488	60503	61564	62583	64586	8	0	1	1.4	1060	1	
1	12	2	0	0	C	H	65604	65619	67475	68498	70501	7	1	-1	1.2	1856		0
1	13	2	1	1	H	C	71519	71534	73004	74032	76050	7	1	-1	1	1469		1
1	14	1	0	0	D	A	77068	77083	78620	79646	81649	7	1	1	1.2	1536	0	
1	15	1	1	1	A	D	82667	82682	84011	85029	87032	8	0	0	1.2	1329	0	
1	16	2	1	0	C	H	88050	88065	89708	90727	92731	8	0	-1	1	1642		1
1	17	1	0	1	A	D	93749	93764	95100	96127	98130	8	0	1	1.2	1335	0	
1	18	2	1	1	H	C	99148	99163	100692	101709	103729	8	0	0	1.2	1528		0
1	19	1	1	0	D	A	104746	104762	105996	107025	109028	7	1	0	1.2	1233	0	
1	20	2	1	1	H	C	110046	110061	111684	112708	114710	8	0	0	1.2	1622		0
1	21	1	1	0	D	A	115728	115743	117124	118156	120159	8	0	1	1.4	1380	1	
1	22	2	1	0	C	H	121177	121192	122604	123622	125625	8	0	-1	1.2	1411		1
1	23	1	0	1	A	D	126643	126658	128211	129237	131241	8	0	1	1.4	1553	0	
1	24	1	1	1	A	D	132260	132273	133923	134953	136956	8	0	0	1.4	1649	0	
1	25	2	0	0	C	H	137974	137989	143420	144452	146471	8	0	0	1.4	5430		1
1	26	2	1	1	H	C	147489	147504	149404	150433	152437	7	1	-1	1.2	1899		1
1	27	1	1	0	D	A	153455	153470	154995	156016	158019	7	1	0	1.2	1525	0	
1	28	2	1	0	C	H	159037	159052	160156	161181	163185	8	0	-1	1	1103		1
1	29	1	1	1	A	D	164203	164218	166516	167547	169550	8	0	0	1	2297	0	
1	30	2	0	1	H	C	170568	170583	172852	173879	175883	8	0	-1	0.8	2267		0
1	31	1	1	0	D	A	176900	176915	178275	179295	181298	7	1	0	0.8	1359	0	
1	32	1	0	0	D	A	182317	182331	184620	185645	187647	8	0	0	0.8	2288	1	
1	33	2	1	1	H	C	188665	188680	190668	191694	193713	8	0	0	0.8	1986		0
1	34	2	0	0	C	H	194730	194746	196660	197692	199712	7	1	-1	0.6	1913		0
1	35	1	1	1	A	D	200730	200745	201348	202375	204378	8	0	0	0.6	602	0	
1	36	2	1	1	H	C	205395	205410	206779	207806	209810	7	1	-1	0.4	1368		1
1	37	1	0	0	D	A	210828	210843	212627	213656	215659	8	0	0	0.4	1784	1	
1	38	2	1	0	C	H	216676	216692	218524	219554	221558	8	0	-1	0.2	1831		1
1	39	1	1	1	A	D	222575	222591	226148	227170	229173	8	0	0	0.2	3556	0	
1	40	2	1	0	C	H	230191	230206	232004	233037	235055	8	0	-1	5.55111512312578e-17	1797		1
1	41	2	0	1	H	C	236074	236088	237011	238035	240038	7	1	0	5.55111512312578e-17	922		1
1	42	1	1	0	D	A	241056	241071	242340	243366	245370	8	0	1	0.2	1268	1	
1	43	2	1	0	C	H	246388	246403	247875	248899	250903	8	0	-1	5.55111512312578e-17	1471		1
1	44	1	0	1	A	D	251920	251935	252620	253649	255652	7	1	0	5.55111512312578e-17	684	1	
1	45	1	1	1	A	D	256671	256685	257619	258647	260651	7	1	1	0.2	934	1	
1	46	2	1	0	C	H	261668	261684	263019	264047	266050	7	1	0	0.2	1335		0
1	47	1	1	0	D	A	267068	267083	267859	268880	270899	7	1	0	0.2	776	0	
1	48	1	1	1	A	D	271917	271932	273051	274078	276081	7	1	1	0.4	1118	1	
1	49	2	0	1	H	C	277099	277114	278540	279561	281564	8	0	-1	0.2	1424		0
1	50	2	1	0	C	H	282582	282597	283531	284559	286563	8	0	-1	5.55111512312578e-17	934		1
1	51	1	1	0	D	A	287581	287596	288267	289292	291295	7	1	0	5.55111512312578e-17	671	0	
1	52	1	0	1	A	D	292313	292328	293451	294476	296495	7	1	0	5.55111512312578e-17	1122	1	
1	53	2	1	1	H	C	297512	297527	298548	299573	301577	7	1	-1	0	1019		1
1	54	2	1	1	H	C	302597	302610	303883	304906	306909	8	0	0	0	1273		0
1	55	1	1	0	D	A	307927	307942	308931	309959	311975	7	1	0	0	988	0	
1	56	2	1	0	C	H	312993	313008	313987	315004	317008	8	0	-1	0	978		1
1	57	2	0	1	H	C	318025	318040	318940	319973	321990	8	0	-1	0	899		0
1	58	1	0	0	D	A	323008	323023	323547	324568	326573	7	1	1	0.2	523	0	
1	59	1	1	1	A	D	327590	327605	328043	329068	331072	8	0	0	0.2	437	0	
1	60	2	0	0	C	H	332089	332104	333147	334169	336187	8	0	0	0.2	1042		1
2	1	2	1	0	N	P	340955	340970	346964	347982	349985	8	0	-1	0.8	5993		1
2	2	1	1	1	K	X	351006	351018	354251	355280	357284	7	1	1	1	3233	1	
2	3	1	1	0	X	K	358302	358316	359211	360230	362249	8	0	1	1.2	894	1	
2	4	2	0	1	P	N	363267	363282	365595	366611	368615	8	0	-1	1	2312		0
2	5	2	1	1	P	N	369634	369648	371243	372261	374281	7	1	-1	0.8	1594		1
2	6	1	1	0	X	K	375298	375313	376659	377676	379680	7	1	0	0.8	1345	0	
